alert_id,alert_date,alert_type,severity,plant_id,material_id,supplier_id,description,metric_value,expected_value,deviation_pct,is_resolved
34,2025-01-16,DEMAND_SPIKE,HIGH,PLT-OH1,MAT-012,SUP-015,Demand for Aluminum Extrusion Frame Short Rail at PLT-OH1 spiked 26.5% above 30-day average,5.6587,4.1376,36.76,True
35,2025-01-10,SUPPLIER_DELAY,HIGH,PLT-OH1,MAT-001,SUP-009,Supplier TE Connectivity Solar Solution delivery for Low-Iron Tempered Substrate Glass 2.0mm is 6d overdue to PLT-OH1,40.1043,29.5159,35.87,False
36,2025-01-29,SUPPLIER_DELAY,HIGH,PLT-OH1,MAT-036,SUP-014,Supplier Linde Gases North America delivery for High Purity Nitrogen Gas Cylinder is 8d overdue to PLT-OH1,102.311,71.3917,43.31,True
37,2025-03-20,PRICE_ANOMALY,MEDIUM,PLT-OH1,MAT-011,SUP-005,Purchase price for Aluminum Extrusion Frame 2m Side Rail from Materion Corporation is 29.8% above market avg,9.2889,7.0674,31.43,False
38,2025-03-03,INVENTORY_DROP,HIGH,PLT-OH1,MAT-021,SUP-020,Inventory for Cross Ribbon Copper 3mm at PLT-OH1 dropped 23.6% in 7 days,0.3481,0.2915,19.42,True
39,2025-03-18,PRICE_ANOMALY,MEDIUM,PLT-AL1,MAT-009,SUP-001,Purchase price for Zinc Stannate Buffer Powder from ABC Glass Industries is 41.5% above market avg,111.4983,96.3221,15.76,True
40,2025-02-11,DEMAND_SPIKE,HIGH,PLT-AL1,MAT-009,SUP-004,Demand for Zinc Stannate Buffer Powder at PLT-AL1 spiked 39.0% above 30-day average,105.7242,93.4793,13.1,False
41,2025-02-06,INVENTORY_DROP,HIGH,PLT-LA1,MAT-048,SUP-006,Inventory for Anti-PID Film Sheet at PLT-LA1 dropped 35.5% in 7 days,2.3122,1.8045,28.14,False
42,2025-03-28,SUPPLIER_DELAY,HIGH,PLT-OH1,MAT-045,SUP-008,Supplier Arconic Aluminum Products delivery for EL Imaging Camera Reference Target is 13d overdue to PLT-OH1,878.5809,607.1454,44.71,True
43,2025-01-01,SUPPLIER_DELAY,HIGH,PLT-OH1,MAT-033,SUP-006,Supplier Umicore Advanced Materials delivery for Magnetron Sputtering Target Holder is 7d overdue to PLT-OH1,1522.0474,1203.0993,26.51,True
44,2025-01-31,DEMAND_SPIKE,HIGH,PLT-LA1,MAT-009,SUP-007,Demand for Zinc Stannate Buffer Powder at PLT-LA1 spiked 40.1% above 30-day average,110.8537,98.2411,12.84,False
45,2025-02-25,DEMAND_SPIKE,HIGH,PLT-AL1,MAT-025,SUP-001,Demand for Isopropyl Alcohol Technical Grade 200L at PLT-AL1 spiked 41.6% above 30-day average,214.9839,173.8827,23.64,True
46,2025-03-25,PRICE_ANOMALY,MEDIUM,PLT-AL1,MAT-035,SUP-006,Purchase price for Vacuum O-Ring Kit from Umicore Advanced Materials is 38.0% above market avg,118.911,94.5823,25.72,True
47,2025-03-04,INVENTORY_DROP,HIGH,PLT-OH1,MAT-021,SUP-009,Inventory for Cross Ribbon Copper 3mm at PLT-OH1 dropped 37.4% in 7 days,0.3606,0.2698,33.65,False
48,2025-01-07,PRICE_ANOMALY,MEDIUM,PLT-AL1,MAT-040,SUP-003,Purchase price for Edge Seal Tape 50mm from Guardian Glass North America is 30.3% above market avg,37.9801,28.4415,33.54,False
49,2025-01-20,INVENTORY_DROP,HIGH,PLT-AL1,MAT-036,SUP-006,Inventory for High Purity Nitrogen Gas Cylinder at PLT-AL1 dropped 36.5% in 7 days,93.6023,71.6916,30.56,False
50,2025-03-20,SUPPLIER_DELAY,HIGH,PLT-LA1,MAT-042,SUP-019,Supplier Brady Corporation Identificati delivery for Heat Sink Compound Syringe 50g is 3d overdue to PLT-LA1,14.4827,12.092,19.77,True
51,2025-02-07,INVENTORY_DROP,HIGH,PLT-AL1,MAT-007,SUP-014,Inventory for Tin Oxide (SnO2) Target Material at PLT-AL1 dropped 39.0% in 7 days,235.6287,171.556,37.35,True
52,2025-01-27,SUPPLIER_DELAY,HIGH,PLT-AL1,MAT-021,SUP-012,Supplier Dow Chemical Encapsulants delivery for Cross Ribbon Copper 3mm is 6d overdue to PLT-AL1,0.4021,0.2811,43.05,False
53,2025-02-25,PRICE_ANOMALY,MEDIUM,PLT-OH1,MAT-008,SUP-016,Purchase price for Indium Tin Oxide (ITO) Sputtering Target from Eastman Chemical Solar Films is 36.7% above market avg,597.9041,408.1924,46.48,True
54,2025-02-21,SUPPLIER_DELAY,HIGH,PLT-AL1,MAT-037,SUP-011,Supplier Henkel Adhesives Technologies delivery for Argon Gas High Purity 50L is 7d overdue to PLT-AL1,76.0781,54.9896,38.35,True
55,2025-01-21,SUPPLIER_DELAY,HIGH,PLT-OH1,MAT-039,SUP-019,Supplier Brady Corporation Identificati delivery for Polyvinyl Butyral Interlayer Film is 5d overdue to PLT-OH1,275.8148,202.9039,35.93,False
56,2025-03-25,INVENTORY_DROP,HIGH,PLT-LA1,MAT-008,SUP-007,Inventory for Indium Tin Oxide (ITO) Sputtering Target at PLT-LA1 dropped 29.7% in 7 days,523.0036,438.7238,19.21,True
57,2025-01-23,SUPPLIER_DELAY,HIGH,PLT-AL1,MAT-044,SUP-004,Supplier 5N Plus Inc. - Semiconductor D delivery for Laser Head Cooling Pump Filter is 8d overdue to PLT-AL1,189.3727,150.2632,26.03,True
58,2025-01-31,DEMAND_SPIKE,HIGH,PLT-AL1,MAT-017,SUP-018,Demand for MC4 Connector Pair at PLT-AL1 spiked 29.7% above 30-day average,2.978,2.1012,41.73,True
59,2025-03-04,SUPPLIER_DELAY,HIGH,PLT-LA1,MAT-048,SUP-012,Supplier Dow Chemical Encapsulants delivery for Anti-PID Film Sheet is 8d overdue to PLT-LA1,2.1995,1.781,23.5,False
60,2025-01-08,SUPPLIER_DELAY,HIGH,PLT-AL1,MAT-018,SUP-010,Supplier Staubli Electrical Connectors delivery for Lead-Free Solder Wire 500g Reel is 9d overdue to PLT-AL1,24.9462,18.6393,33.84,True
61,2025-01-21,INVENTORY_DROP,HIGH,PLT-AL1,MAT-023,SUP-006,Inventory for CdCl2 Activation Solution 20L at PLT-AL1 dropped 43.6% in 7 days,199.7768,139.1068,43.61,True
62,2025-01-30,PRICE_ANOMALY,MEDIUM,PLT-LA1,MAT-002,SUP-003,Purchase price for Back Glass Panel 2m x 1.2m from Guardian Glass North America is 24.1% above market avg,28.1274,22.025,27.71,False
63,2025-02-05,DEMAND_SPIKE,HIGH,PLT-LA1,MAT-027,SUP-016,Demand for Flux No-Clean Pen at PLT-LA1 spiked 17.5% above 30-day average,5.7329,4.7103,21.71,False
64,2025-01-09,SUPPLIER_DELAY,HIGH,PLT-LA1,MAT-010,SUP-004,Supplier 5N Plus Inc. - Semiconductor D delivery for Copper Back Contact Material is 4d overdue to PLT-LA1,13.9631,9.9371,40.51,True
65,2025-01-24,DEMAND_SPIKE,HIGH,PLT-AL1,MAT-039,SUP-003,Demand for Polyvinyl Butyral Interlayer Film at PLT-AL1 spiked 18.5% above 30-day average,256.9824,203.2948,26.41,False
66,2025-01-07,INVENTORY_DROP,HIGH,PLT-AL1,MAT-047,SUP-011,Inventory for Grounding Lug Assembly at PLT-AL1 dropped 34.9% in 7 days,4.6002,3.1033,48.24,True
67,2025-02-07,DEMAND_SPIKE,HIGH,PLT-OH1,MAT-037,SUP-007,Demand for Argon Gas High Purity 50L at PLT-OH1 spiked 27.9% above 30-day average,63.4436,53.2336,19.18,True
68,2025-02-24,DEMAND_SPIKE,HIGH,PLT-AL1,MAT-049,SUP-010,Demand for Silicone Sealant Cartridge at PLT-AL1 spiked 20.3% above 30-day average,10.8047,8.6556,24.83,True
69,2025-01-24,PRICE_ANOMALY,MEDIUM,PLT-AL1,MAT-037,SUP-011,Purchase price for Argon Gas High Purity 50L from Henkel Adhesives Technologies is 44.5% above market avg,72.1799,52.3441,37.9,True
70,2025-02-04,PRICE_ANOMALY,MEDIUM,PLT-OH1,MAT-047,SUP-013,Purchase price for Grounding Lug Assembly from Air Products and Chemicals Inc is 40.2% above market avg,4.5632,3.0404,50.09,True
71,2025-03-04,SUPPLIER_DELAY,HIGH,PLT-LA1,MAT-038,SUP-016,Supplier Eastman Chemical Solar Films delivery for Thermoplastic Polyolefin Backsheet Roll is 4d overdue to PLT-LA1,224.4088,178.3748,25.81,False
72,2025-03-05,PRICE_ANOMALY,MEDIUM,PLT-LA1,MAT-024,SUP-013,Purchase price for Phosphoric Acid Etchant 25L from Air Products and Chemicals Inc is 24.2% above market avg,71.6847,64.7374,10.73,True
73,2025-01-28,DEMAND_SPIKE,HIGH,PLT-AL1,MAT-031,SUP-002,Demand for Module Interleaf Paper Roll at PLT-AL1 spiked 27.7% above 30-day average,19.9727,15.0863,32.39,False
74,2025-01-30,DEMAND_SPIKE,HIGH,PLT-OH1,MAT-047,SUP-003,Demand for Grounding Lug Assembly at PLT-OH1 spiked 27.9% above 30-day average,3.6009,3.0805,16.89,False
75,2025-01-20,PRICE_ANOMALY,MEDIUM,PLT-OH1,MAT-017,SUP-006,Purchase price for MC4 Connector Pair from Umicore Advanced Materials is 39.8% above market avg,2.6745,2.1423,24.84,True
76,2025-01-07,SUPPLIER_DELAY,HIGH,PLT-AL1,MAT-008,SUP-001,Supplier ABC Glass Industries delivery for Indium Tin Oxide (ITO) Sputtering Target is 9d overdue to PLT-AL1,607.4187,431.2733,40.84,True
77,2025-03-18,PRICE_ANOMALY,MEDIUM,PLT-LA1,MAT-005,SUP-012,Purchase price for Cadmium Telluride (CdTe) Compound from Dow Chemical Encapsulants is 28.3% above market avg,435.9965,313.1214,39.24,True
78,2025-02-13,PRICE_ANOMALY,MEDIUM,PLT-OH1,MAT-007,SUP-005,Purchase price for Tin Oxide (SnO2) Target Material from Materion Corporation is 40.1% above market avg,214.2787,167.0222,28.29,False
79,2025-01-22,DEMAND_SPIKE,HIGH,PLT-AL1,MAT-014,SUP-001,Demand for Mounting Hole Insert at PLT-AL1 spiked 39.2% above 30-day average,1.1859,0.816,45.33,False
80,2025-01-16,INVENTORY_DROP,HIGH,PLT-AL1,MAT-028,SUP-017,Inventory for Module Shipping Pallet Rack at PLT-AL1 dropped 16.3% in 7 days,60.5618,45.7659,32.33,True
81,2025-01-27,DEMAND_SPIKE,HIGH,PLT-LA1,MAT-007,SUP-011,Demand for Tin Oxide (SnO2) Target Material at PLT-LA1 spiked 36.1% above 30-day average,205.8549,173.4003,18.72,False
82,2025-01-09,INVENTORY_DROP,HIGH,PLT-LA1,MAT-015,SUP-011,Inventory for Stainless Steel Fastener Set at PLT-LA1 dropped 17.4% in 7 days,1.6372,1.2564,30.31,True
83,2025-03-28,PRICE_ANOMALY,MEDIUM,PLT-AL1,MAT-026,SUP-006,Purchase price for De-ionized Water System Resin from Umicore Advanced Materials is 18.4% above market avg,44.2691,36.7906,20.33,True
84,2025-03-05,INVENTORY_DROP,HIGH,PLT-OH1,MAT-046,SUP-014,Inventory for IV Curve Tracer Calibration Cell at PLT-OH1 dropped 32.9% in 7 days,379.0743,323.1859,17.29,False
85,2025-02-05,INVENTORY_DROP,HIGH,PLT-AL1,MAT-029,SUP-009,Inventory for Protective Foam Corner Piece at PLT-AL1 dropped 40.1% in 7 days,3.461,2.7589,25.45,False
86,2025-02-12,SUPPLIER_DELAY,HIGH,PLT-LA1,MAT-031,SUP-001,Supplier ABC Glass Industries delivery for Module Interleaf Paper Roll is 7d overdue to PLT-LA1,18.9215,14.7159,28.58,False
87,2025-01-06,DEMAND_SPIKE,HIGH,PLT-AL1,MAT-004,SUP-015,Demand for Anti-Reflective Glass Coating Chemical at PLT-AL1 spiked 32.7% above 30-day average,114.2071,81.0675,40.88,True
88,2025-02-17,SUPPLIER_DELAY,HIGH,PLT-LA1,MAT-050,SUP-018,Supplier Sumitomo Electric Wiring delivery for Label Self-Adhesive Weatherproof is 14d overdue to PLT-LA1,29.5954,22.4565,31.79,True
89,2025-01-01,PRICE_ANOMALY,MEDIUM,PLT-AL1,MAT-043,SUP-003,Purchase price for Laser Scribing Machine Lens from Guardian Glass North America is 24.5% above market avg,3291.522,2800.5141,17.53,True
90,2025-02-24,INVENTORY_DROP,HIGH,PLT-OH1,MAT-039,SUP-017,Inventory for Polyvinyl Butyral Interlayer Film at PLT-OH1 dropped 44.7% in 7 days,244.4767,209.2282,16.85,True
91,2025-01-22,INVENTORY_DROP,HIGH,PLT-OH1,MAT-039,SUP-018,Inventory for Polyvinyl Butyral Interlayer Film at PLT-OH1 dropped 37.5% in 7 days,264.2308,201.5911,31.07,False
92,2025-02-20,DEMAND_SPIKE,HIGH,PLT-OH1,MAT-031,SUP-019,Demand for Module Interleaf Paper Roll at PLT-OH1 spiked 23.0% above 30-day average,21.5394,14.9053,44.51,False
93,2025-02-21,DEMAND_SPIKE,HIGH,PLT-LA1,MAT-029,SUP-001,Demand for Protective Foam Corner Piece at PLT-LA1 spiked 17.0% above 30-day average,3.3355,2.9367,13.58,True
94,2025-01-06,SUPPLIER_DELAY,HIGH,PLT-OH1,MAT-004,SUP-017,Supplier II-VI Incorporated Optics delivery for Anti-Reflective Glass Coating Chemical is 11d overdue to PLT-OH1,114.5751,84.2413,36.01,True
95,2025-01-06,PRICE_ANOMALY,MEDIUM,PLT-AL1,MAT-035,SUP-003,Purchase price for Vacuum O-Ring Kit from Guardian Glass North America is 22.1% above market avg,130.7409,95.1231,37.44,True
96,2025-03-21,SUPPLIER_DELAY,HIGH,PLT-AL1,MAT-006,SUP-015,Supplier Borealis Polyolefin Solutions delivery for Cadmium Sulfide (CdS) Buffer Layer is 14d overdue to PLT-AL1,294.293,211.8406,38.92,False
97,2025-01-06,DEMAND_SPIKE,HIGH,PLT-LA1,MAT-026,SUP-009,Demand for De-ionized Water System Resin at PLT-LA1 spiked 24.1% above 30-day average,43.803,39.6979,10.34,True
98,2025-02-11,INVENTORY_DROP,HIGH,PLT-LA1,MAT-024,SUP-015,Inventory for Phosphoric Acid Etchant 25L at PLT-LA1 dropped 43.0% in 7 days,76.8336,60.5089,26.98,False
99,2025-03-26,PRICE_ANOMALY,MEDIUM,PLT-OH1,MAT-043,SUP-003,Purchase price for Laser Scribing Machine Lens from Guardian Glass North America is 39.9% above market avg,3880.3494,2683.8358,44.58,True
100,2025-01-16,DEMAND_SPIKE,HIGH,PLT-AL1,MAT-033,SUP-016,Demand for Magnetron Sputtering Target Holder at PLT-AL1 spiked 35.2% above 30-day average,1427.9102,1220.4495,17.0,True
101,2025-03-25,PRICE_ANOMALY,MEDIUM,PLT-OH1,MAT-010,SUP-005,Purchase price for Copper Back Contact Material from Materion Corporation is 29.6% above market avg,13.5826,9.5,42.97,False
102,2025-04-01,SUPPLIER_DELAY,HIGH,PLT-AL1,MAT-001,SUP-002,Supplier NSG Group Pilkington delivery for Low-Iron Tempered Substrate Glass 2 is 6d overdue to PLT-LA1,34.2187,28.5,20.07,False
103,2025-03-27,SUPPLIER_DELAY,HIGH,PLT-AL1,MAT-037,SUP-014,Supplier Linde Gases North America delivery for Argon Gas High Purity 50L is 10d overdue to PLT-LA1,73.5353,55.0,33.7,False
104,2025-03-24,SUPPLIER_DELAY,HIGH,PLT-OH1,MAT-021,SUP-010,Supplier Staubli Electrical Connectors delivery for Cross Ribbon Copper 3mm is 6d overdue to PLT-OH1,0.3802,0.28,35.79,False
105,2025-03-06,SUPPLIER_DELAY,HIGH,PLT-LA1,MAT-039,SUP-015,Supplier Borealis Polyolefin Solutions delivery for Polyvinyl Butyral Interlayer Film is 3d overdue to PLT-LA1,296.272,210.0,41.08,False
106,2025-03-31,SUPPLIER_DELAY,HIGH,PLT-LA1,MAT-017,SUP-010,Supplier Staubli Electrical Connectors delivery for MC4 Connector Pair is 6d overdue to PLT-LA1,2.6016,2.1,23.89,False
107,2025-03-20,SUPPLIER_DELAY,HIGH,PLT-AL1,MAT-002,SUP-001,Supplier ABC Glass Industries delivery for Back Glass Panel 2m x 1.2m is 5d overdue to PLT-AL1,28.2794,22.0,28.54,False
108,2025-03-26,SUPPLIER_DELAY,HIGH,PLT-LA1,MAT-049,SUP-011,Supplier Henkel Adhesives Technologies delivery for Silicone Sealant Cartridge is 8d overdue to PLT-LA1,11.6247,8.5,36.76,False
109,2025-03-20,SUPPLIER_DELAY,HIGH,PLT-OH1,MAT-017,SUP-009,Supplier TE Connectivity Solar Solutions delivery for MC4 Connector Pair is 12d overdue to PLT-AL1,2.6022,2.1,23.91,False
110,2025-03-26,PRICE_ANOMALY,MEDIUM,PLT-OH1,MAT-033,SUP-017,Purchase price for Magnetron Sputtering Target Holder from II-VI Incorporated Optics is 20.7% above market avg,1484.6619,1200.0,23.72,False
111,2025-03-07,SUPPLIER_DELAY,HIGH,PLT-AL1,MAT-033,SUP-017,Supplier II-VI Incorporated Optics delivery for Magnetron Sputtering Target Holder is 12d overdue to PLT-AL1,1431.8247,1200.0,19.32,False
112,2025-03-11,SUPPLIER_DELAY,HIGH,PLT-AL1,MAT-005,SUP-004,Supplier 5N Plus Inc. - Semiconductor Divisi delivery for Cadmium Telluride (CdTe) Compound is 12d overdue to PLT-LA1,442.1966,320.0,38.19,False
113,2025-03-20,SUPPLIER_DELAY,HIGH,PLT-AL1,MAT-005,SUP-004,Supplier 5N Plus Inc. - Semiconductor Divisi delivery for Cadmium Telluride (CdTe) Compound is 9d overdue to PLT-AL1,402.8319,320.0,25.88,False
114,2025-03-04,SUPPLIER_DELAY,HIGH,PLT-OH1,MAT-016,SUP-009,Supplier TE Connectivity Solar Solutions delivery for Junction Box with Bypass Diodes is 3d overdue to PLT-AL1,9.4776,7.5,26.37,False
115,2025-03-14,SUPPLIER_DELAY,HIGH,PLT-AL1,MAT-038,SUP-016,Supplier Eastman Chemical Solar Films delivery for Thermoplastic Polyolefin Backsheet  is 4d overdue to PLT-OH1,231.7402,185.0,25.26,False
